UF,Code,State,Year,stategdp,population,health_insurance,hospitalbeds,icu,population65,doctors,gdp_pc,IMLEE,LSS,first_restriction,first_stringency_index,week_first_restriction,deaths_week13,cases_week13,first_death,first_1kcases,first_10cases_pc,first_100cases_pc,first_1death_pc,first_10death_pc,si2020,si2021,votes_left,votes_right,votes_null,share_votes_right,deaths2020,deaths2021,cases2020,cases2021,cases_pc2020,cases_pc2021,deaths_pc2020,deaths_pc2021
PR,41,PARANÁ,2005,183348423.593448,10261856.0,,,,,,17866.984646193436,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2006,185435196.515462,10387378.0,,,,,,17851.97347352354,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2007,209099867.153193,,,,,,,,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2008,216048481.391995,10590171.0,,,,,,20400.849182888076,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2009,213242264.223123,10686247.0,,,,,,19954.832058731474,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2010,225205255.0,,,27.2329375489755,2.4173315325727,,13.291607827176,,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2011,237375933.099808,10512349.0,,26.8997849954234,2.45699116892496,,12.8570638325374,22580.67469980382,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2012,244281692.443717,10577755.0,,26.2176674640717,2.52236447217184,8.385522258740158,12.6678030358682,23093.907208449902,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2013,265305581.651983,10997465.0,,25.6488308281069,2.63324869412439,7.819983969032863,13.0815981500994,24124.248783877283,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2014,256774855.404278,11081692.0,,25.5131491160187,2.79429872740068,7.8868822558865554,14.0243063224256,23171.08753828188,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
